#nr. atom atomtype  charge   mass
DAP
1    N     NH1   -0.47    14.0070
2    HN    H      0.31     1.0080
3    CA    CT1    0.07    12.0110
4    HA    HB1    0.09     1.0080
5    CB    CT2   -0.18    12.0110
6    HB1   HA2    0.09     1.008
7    HB2   HA2    0.09     1.008
8    CG    CT2   -0.18    12.0110
9    HG1   HA2    0.09     1.008
10   HG2   HA2    0.09     1.008
11   CD    CT2   -0.18    12.0110
12   HD1   HA2    0.09     1.008
13   HD2   HA2    0.09     1.008
14   CE    CT1    0.21    12.0110
15   HE    HB1    0.10     1.008
16   NZ    NH3   -0.30    14.0070
17   HZ1   HC     0.33     1.008
18   HZ2   HC     0.33     1.008
19   HZ3   HC     0.33     1.008
20   CZ    CC     0.34    12.0110
21   OZ1   OC    -0.67    15.9994
22   OZ2   OC    -0.67    15.9994
23   C     C      0.51    12.0110
24   O     O     -0.51    15.9994
