#nr. atom atomtype  charge   mass
GLU
1    N     NH1   -0.47    14.0070
2    HN    H      0.31     1.0080
3    CA    CT1   -0.03    12.0110
4    HA    HB1    0.09     1.0080
5    CD    CC     0.62    12.0110
6    OE1   OC    -0.76    15.9994
7    OE2   OC    -0.76    15.9994
8    CB    CT2   -0.18    12.0110
9    HB1   HA2    0.09     1.008
10   HB2   HA2    0.09     1.008
11   CG    CT2   -0.18    12.0110
12   HG1   HA2    0.09     1.008
13   HG2   HA2    0.09     1.008
14   C     C      0.51    12.011
15   O     O     -0.51    15.9994
