#nr. atom atomtype  charge   mass
NAM
1	C1	CC3162	0.29	12.011
2	H1	HCA1	0.09	1.008
3       O1      OC301  -0.35    15.9994
4       CT1     CC331  -0.10    12.011
5       HT1     HCA3    0.09    1.008
6       HT2     HCA3    0.09    1.008
7       HT3     HCA3    0.09    1.008
8	C5	CC3163	0.11	12.011
9	H5	HCA1	0.09	1.008
10	O5	OC3C61 -0.40	15.9994
11	C2	CC3161	0.134	12.011
12	H2	HCA1	0.09	1.008
13	NC	NH1    -0.587	14.007
14	HN	H	0.363	1.008
15	CM	CC	0.55	12.011
16	OM	O      -0.55	15.9994
17	CC	CT3    -0.27	12.011
18	HC1	HA3	0.09	1.008
19	HC2	HA3	0.09	1.008
20	HC3	HA3	0.09	1.008
21	C3	CC3161 -0.024	12.011
22	H3	HCA1	0.09	1.008
23	O3	OC311  -0.406	15.9994
24	CA	CT1	0.25	12.011
25	HA	HB1	0.09	1.008
26	C	C	0.51	12.011
27	O	O      -0.51	15.9994
28	CB	CT3    -0.27	12.011
29	HB1	HA3	0.09	1.008
30	HB2	HA3	0.09	1.008
31	HB3	HA3	0.09	1.008
32	C4	CC3161	0.09	12.011
33	H4	HCA1	0.09	1.008
34	O4	OC301  -0.36	15.9994
35	C6	CC321	0.05	12.011
36	H61	HCA2	0.09	1.008
37	H62	HCA2	0.09	1.008
38	O6	OC311  -0.65	15.9994
39	HO6	HCP1	0.42	1.008
